Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2023,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,3ª ETAPA,178.4
2023,GRUPO ESPECIAL,RASGA O FOLE,3ª ETAPA,178.9
2023,GRUPO ESPECIAL,AMOR JUNINO,3ª ETAPA,178.8
2023,GRUPO ESPECIAL,EITA BAGACEIRA,3ª ETAPA,178.7
2023,GRUPO ESPECIAL,XAMEGAR,3ª ETAPA,178.7
2023,GRUPO ESPECIAL,COISAS DA ROÇA,3ª ETAPA,178.9
2023,GRUPO ESPECIAL,XÉM NHEM NHÉM,3ª ETAPA,177.7
2023,GRUPO ESPECIAL,PINGA EM MIM,3ª ETAPA,177.3
2023,GRUPO ESPECIAL,CHINELO DE COURO,3ª ETAPA,178.3
2023,GRUPO ESPECIAL,OS CABOCLOS DO SERTÃO,3ª ETAPA,178.2
2023,GRUPO ESPECIAL,MATINGUEIROS DO SERTÃO,3ª ETAPA,178.1
2024,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,209.8
2024,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,209.6
2024,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,209.1
2024,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,207.7
2024,GRUPO ESPECIAL,MALA VÉIA,1ª ETAPA,208.6
2024,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,206.2
2024,GRUPO ESPECIAL,CAIPIRADA,1ª ETAPA,205.6
2024,GRUPO ESPECIAL,EITA BAGACEIRA,1ª ETAPA,206.3
2024,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,204.0
2024,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,206.9
2024,GRUPO ESPECIAL,PINGA EM MIM,1ª ETAPA,207.7
2024,GRUPO ESPECIAL,COISAS DA ROÇA,1ª ETAPA,205.1
2024,GRUPO ESPECIAL,FORNALHA,1ª ETAPA,204.6
2024,GRUPO ESPECIAL,XIQUE XIQUE,1ª ETAPA,203.7
2024,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,203.0
2024,GRUPO ESPECIAL,ARROXA O NÓ,2ª ETAPA,209.9
2024,GRUPO ESPECIAL,FORMIGA DA ROÇA,2ª ETAPA,209.5
2024,GRUPO ESPECIAL,RIBULIÇO,2ª ETAPA,208.5
2024,GRUPO ESPECIAL,XAMEGAR,2ª ETAPA,207.9
2024,GRUPO ESPECIAL,MALA VÉIA,2ª ETAPA,207.1
2024,GRUPO ESPECIAL,RASGA O FOLE,2ª ETAPA,207.6
2024,GRUPO ESPECIAL,CAIPIRADA,2ª ETAPA,208.2
2024,GRUPO ESPECIAL,EITA BAGACEIRA,2ª ETAPA,207.6
2024,GRUPO ESPECIAL,AMOR JUNINO,2ª ETAPA,208.8
2024,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,2ª ETAPA,207.7
