Ano,Grupo,Quadrilha,Etapa,Quesito,NotaQuesitoEtapa
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,TRILHA,49.8
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,TRILHA,46.8
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,COREOGRAFIA,29.500000000000004
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,COREOGRAFIA,29.499999999999993
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,COREOGRAFIA,29.299999999999997
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,COREOGRAFIA,29.299999999999997
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,COREOGRAFIA,29.0
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,COREOGRAFIA,29.0
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,COREOGRAFIA,28.9
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,COREOGRAFIA,29.100000000000005
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,COREOGRAFIA,28.799999999999997
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,COREOGRAFIA,28.300000000000004
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,MARCAÇÃO,29.799999999999997
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,MARCAÇÃO,29.799999999999997
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,MARCAÇÃO,29.600000000000005
2025,GRUPO DE ACESSO,MATULÃO,1ª ETAPA,MARCAÇÃO,29.7
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,MARCAÇÃO,29.4
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,MARCAÇÃO,29.400000000000002
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,MARCAÇÃO,29.299999999999997
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,MARCAÇÃO,28.9
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,MARCAÇÃO,28.799999999999997
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,MARCAÇÃO,28.599999999999994
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,ANIMAÇÃO,29.900000000000002
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,ANIMAÇÃO,30.0
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,ANIMAÇÃO,30.0
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,ANIMAÇÃO,29.6
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,ANIMAÇÃO,29.899999999999995
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,ANIMAÇÃO,29.8
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,ANIMAÇÃO,29.199999999999996
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,ANIMAÇÃO,29.4
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,ANIMAÇÃO,29.200000000000003
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,ANIMAÇÃO,28.799999999999997
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,FIGURINO,30.0
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,FIGURINO,29.7
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,FIGURINO,30.0
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,FIGURINO,29.8
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,FIGURINO,29.900000000000002
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,FIGURINO,29.799999999999997
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,FIGURINO,29.8
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,FIGURINO,29.7
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,FIGURINO,29.399999999999995
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,FIGURINO,28.5
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,30.0
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,CASAL DE NOIVOS,29.999999999999996
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,CASAL DE NOIVOS,29.7
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,CASAL DE NOIVOS,29.6
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,CASAL DE NOIVOS,29.499999999999996
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,CASAL DE NOIVOS,29.5
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,29.100000000000005
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,CASAL DE NOIVOS,29.299999999999997
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,CASAL DE NOIVOS,29.300000000000004
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,CASAL DE NOIVOS,28.800000000000004
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,TRILHA,30.0
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,TRILHA,30.0
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,TRILHA,30.0
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,TRILHA,30.0
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,TRILHA,29.999999999999996
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,TRILHA,29.999999999999996
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,TRILHA,29.8
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,TRILHA,29.8
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,TRILHA,29.900000000000002
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,TRILHA,29.700000000000003
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,COREOGRAFIA,29.799999999999997
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,1ª ETAPA,COREOGRAFIA,29.7
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,1ª ETAPA,COREOGRAFIA,29.5
2022,GRUPO ESPECIAL,SABUGO DE MILHO,1ª ETAPA,COREOGRAFIA,29.4
2022,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,COREOGRAFIA,29.599999999999998
2022,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,COREOGRAFIA,29.4
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,COREOGRAFIA,29.199999999999996
2022,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,COREOGRAFIA,29.000000000000007
2022,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,COREOGRAFIA,29.29999999999999
2022,GRUPO ESPECIAL,SANFONA LASCADA,1ª ETAPA,COREOGRAFIA,28.9
2022,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,COREOGRAFIA,28.700000000000003
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,COREOGRAFIA,29.299999999999997
2022,GRUPO ESPECIAL,PULA FOGUEIRA,1ª ETAPA,COREOGRAFIA,28.299999999999997
2022,GRUPO ESPECIAL,XIQUE XIQUE,1ª ETAPA,COREOGRAFIA,29.2
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,1ª ETAPA,MARCAÇÃO,29.900000000000002
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,MARCAÇÃO,29.8
2022,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,MARCAÇÃO,29.7
2022,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,MARCAÇÃO,29.6
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,MARCAÇÃO,29.199999999999996
2022,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,MARCAÇÃO,29.500000000000004
2022,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,MARCAÇÃO,29.000000000000007
2022,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,MARCAÇÃO,28.800000000000004
2022,GRUPO ESPECIAL,SABUGO DE MILHO,1ª ETAPA,MARCAÇÃO,29.000000000000007
2022,GRUPO ESPECIAL,SANFONA LASCADA,1ª ETAPA,MARCAÇÃO,28.9
2022,GRUPO ESPECIAL,PULA FOGUEIRA,1ª ETAPA,MARCAÇÃO,28.6
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,MARCAÇÃO,28.800000000000008
2022,GRUPO ESPECIAL,XIQUE XIQUE,1ª ETAPA,MARCAÇÃO,29.5
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,ANIMAÇÃO,30.0
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,1ª ETAPA,ANIMAÇÃO,29.900000000000002
2022,GRUPO ESPECIAL,SABUGO DE MILHO,1ª ETAPA,ANIMAÇÃO,29.8
2022,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,ANIMAÇÃO,29.7
2022,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,ANIMAÇÃO,29.400000000000002
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,ANIMAÇÃO,29.1
2022,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,ANIMAÇÃO,29.3
2022,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,ANIMAÇÃO,28.599999999999994
2022,GRUPO ESPECIAL,SANFONA LASCADA,1ª ETAPA,ANIMAÇÃO,28.800000000000008
2022,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,ANIMAÇÃO,28.599999999999994
2022,GRUPO ESPECIAL,PULA FOGUEIRA,1ª ETAPA,ANIMAÇÃO,28.700000000000003
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,ANIMAÇÃO,28.999999999999993
2022,GRUPO ESPECIAL,XIQUE XIQUE,1ª ETAPA,ANIMAÇÃO,29.0
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,1ª ETAPA,FIGURINO,30.0
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,FIGURINO,29.9
